Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2016,N/A,N/A,N/A,12.0,91.6,81.2,N/A,56.6,63.2,N/A,N/A,55.0,N/A
Albania,2016,65.9,35.0,N/A,33.0,87.8,75.0,N/A,67.6,51.5,81.7,87.6,70.0,70.0
Algeria,2016,50.1,25.0,N/A,36.0,81.0,59.4,N/A,62.1,48.2,68.1,60.8,30.0,30.0
Angola,2016,48.9,15.0,N/A,19.0,87.8,50.1,N/A,50.3,44.8,72.2,70.2,40.0,40.0
Argentina,2016,43.8,15.0,N/A,34.0,66.1,51.3,N/A,56.0,43.9,44.0,67.4,30.0,30.0
Armenia,2016,67.0,20.0,N/A,37.0,83.8,80.7,N/A,77.5,62.2,72.8,85.6,80.0,70.0
Australia,2016,80.3,90.0,N/A,80.0,63.2,62.0,N/A,89.4,77.2,85.2,86.4,80.0,90.0
Austria,2016,71.7,90.0,N/A,72.0,50.7,22.4,N/A,79.4,72.5,81.7,88.0,90.0,70.0
Azerbaijan,2016,60.2,20.0,N/A,29.0,88.0,56.7,N/A,70.3,75.2,77.0,75.8,60.0,50.0
Bahrain,2016,74.3,60.0,N/A,49.0,99.9,75.4,N/A,71.9,79.1,74.6,82.6,70.0,80.0
"Bangladesh ",2016,53.3,20.0,N/A,25.0,72.7,93.6,N/A,52.6,62.5,68.2,63.6,45.0,30.0
Barbados,2016,68.3,80.0,N/A,74.0,75.8,37.6,N/A,70.2,67.3,80.8,62.2,75.0,60.0
Belarus,2016,48.8,20.0,N/A,31.0,88.6,44.8,N/A,69.0,74.9,50.4,79.0,20.0,10.0
Belgium,2016,68.4,80.0,N/A,76.0,44.2,11.0,N/A,85.4,60.5,84.0,88.0,85.0,70.0
Belize,2016,57.4,35.0,N/A,6.7,82.1,71.9,N/A,63.3,60.3,79.2,70.0,55.0,50.0
Benin,2016,59.3,30.0,N/A,39.0,68.1,84.9,N/A,51.3,53.8,82.2,58.8,75.0,50.0
Bhutan,2016,59.5,60.0,N/A,65.0,83.1,67.5,N/A,65.2,77.6,66.9,60.0,20.0,30.0
Bolivia,2016,47.4,10.0,N/A,35.0,86.4,55.5,N/A,58.8,31.7,65.0,76.6,15.0,40.0
Bosnia and Herzegovina,2016,58.6,20.0,N/A,39.0,83.9,33.1,N/A,54.6,59.4,84.3,87.0,65.0,60.0
Botswana,2016,71.1,70.0,N/A,63.0,79.1,68.4,N/A,66.4,68.5,76.3,84.0,65.0,70.0
Brazil,2016,56.5,45.0,N/A,43.0,69.7,55.2,N/A,61.4,52.5,64.2,69.4,55.0,50.0
Brunei Darussalam,2016,67.3,30.0,N/A,60.0,87.0,57.3,N/A,71.3,90.2,76.8,85.2,65.0,50.0
Bulgaria,2016,65.9,30.0,N/A,43.0,91.1,60.4,N/A,66.9,71.6,82.6,88.0,65.0,60.0
Burkina Faso,2016,59.1,30.0,N/A,38.0,82.8,76.8,N/A,46.3,58.9,84.9,68.2,65.0,40.0
Burma,2016,48.7,10.0,N/A,21.0,86.6,75.3,N/A,32.6,76.8,70.0,74.2,20.0,20.0
Burundi,2016,53.9,20.0,N/A,20.0,73.8,70.5,N/A,54.2,67.6,73.8,74.2,55.0,30.0
Cabo Verde,2016,66.5,75.0,N/A,57.0,78.1,66.9,N/A,61.3,43.6,84.5,68.2,70.0,60.0
Cambodia,2016,57.9,25.0,N/A,21.0,90.5,87.4,N/A,32.3,62.5,78.1,72.2,60.0,50.0
Cameroon,2016,54.2,25.0,N/A,27.0,75.6,85.6,N/A,46.9,48.9,81.2,61.6,40.0,50.0
Canada,2016,78.0,90.0,N/A,81.0,80.0,50.4,N/A,81.8,72.6,76.9,87.0,80.0,80.0
Central African Republic,2016,45.2,10.0,N/A,24.0,65.7,93.6,N/A,28.0,40.9,62.9,52.2,45.0,30.0
Chad,2016,46.3,20.0,N/A,22.0,46.0,84.3,N/A,30.9,48.9,71.4,49.8,50.0,40.0
Chile,2016,77.7,85.0,N/A,73.0,74.8,83.1,N/A,72.1,64.3,82.9,86.4,85.0,70.0
China,2016,52.0,20.0,N/A,36.0,69.7,74.3,N/A,54.2,62.0,70.6,72.8,30.0,30.0
Colombia,2016,70.8,50.0,N/A,37.0,80.1,74.4,N/A,78.2,77.6,79.6,81.0,80.0,70.0
Comoros,2016,52.4,30.0,N/A,26.0,64.5,81.0,N/A,49.6,51.0,79.4,72.0,40.0,30.0
"Costa Rica ",2016,67.4,50.0,N/A,54.0,79.4,88.7,N/A,68.6,53.8,77.6,81.6,70.0,50.0
"Côte d'Ivoire ",2016,60.0,30.0,N/A,32.0,78.3,85.4,N/A,62.2,46.9,73.5,71.8,70.0,50.0
Croatia,2016,59.1,35.0,N/A,48.0,70.8,33.7,N/A,60.3,42.4,78.7,87.4,75.0,60.0
Cuba,2016,29.8,10.0,N/A,46.0,52.1,0.0,N/A,20.0,20.0,65.2,64.6,10.0,10.0
Cyprus,2016,68.7,70.0,N/A,63.0,76.1,47.3,N/A,74.5,58.2,85.3,88.0,75.0,50.0
Czech Republic,2016,73.2,75.0,N/A,51.0,82.5,47.3,N/A,66.6,77.7,84.1,88.0,80.0,80.0
Democratic Republic of Congo,2016,46.4,10.0,N/A,22.0,73.3,95.2,N/A,42.8,41.0,78.5,61.0,20.0,20.0
Denmark,2016,75.3,95.0,N/A,92.0,39.5,2.3,N/A,95.4,86.0,84.4,88.0,90.0,80.0
Djibouti,2016,56.0,25.0,N/A,34.0,80.6,57.4,N/A,50.8,62.9,74.3,54.6,70.0,50.0
Dominica,2016,67.0,60.0,N/A,58.0,74.0,68.5,N/A,73.3,68.7,90.1,72.6,75.0,30.0
Dominican Republic,2016,61.0,25.0,N/A,32.0,84.5,90.2,N/A,56.6,56.5,73.1,77.2,75.0,40.0
Ecuador,2016,48.6,15.0,N/A,33.0,79.2,41.8,N/A,55.5,51.6,68.1,71.4,30.0,40.0
Egypt,2016,56.0,20.0,N/A,37.0,85.6,65.9,N/A,68.3,51.4,65.8,70.6,55.0,40.0
"El Salvador ",2016,65.1,35.0,N/A,39.0,79.1,85.3,N/A,56.0,52.6,83.4,85.8,75.0,60.0
Equatorial Guinea,2016,43.7,10.0,N/A,19.0,75.4,45.6,N/A,45.6,38.4,78.9,53.8,40.0,30.0
Eritrea,2016,42.7,10.0,N/A,18.0,80.9,73.4,N/A,32.1,65.6,57.8,69.2,0.0,20.0
Estonia,2016,77.2,90.0,N/A,69.0,81.9,54.9,N/A,79.0,57.2,82.2,88.0,90.0,80.0
Eswatini,2016,59.7,40.0,N/A,43.0,70.9,64.9,N/A,58.6,65.8,74.5,88.8,50.0,40.0
Ethiopia,2016,51.5,30.0,N/A,33.0,77.2,90.5,N/A,55.8,57.7,66.0,65.0,20.0,20.0
Fiji,2016,58.8,30.0,N/A,22.3,81.2,75.3,N/A,62.0,70.6,77.6,68.8,50.0,50.0
Finland,2016,72.6,90.0,N/A,89.0,66.5,0.8,N/A,90.7,53.7,81.9,88.0,85.0,80.0
France,2016,62.3,80.0,N/A,69.0,47.7,2.5,N/A,78.4,43.5,79.1,83.0,70.0,70.0
Gabon,2016,59.0,40.0,N/A,37.0,77.6,74.5,N/A,58.4,61.9,78.4,61.8,60.0,40.0
Georgia,2016,72.6,40.0,N/A,52.0,87.6,75.3,N/A,86.5,75.7,80.5,88.6,80.0,60.0
Germany,2016,74.4,90.0,N/A,79.0,61.5,41.3,N/A,90.0,50.6,83.3,88.0,90.0,70.0
Ghana,2016,63.0,50.0,N/A,48.0,84.9,77.6,N/A,61.5,56.5,66.5,65.0,60.0,60.0
Greece,2016,53.2,40.0,N/A,43.0,64.4,0.0,N/A,73.8,50.2,77.7,83.0,60.0,40.0
"Guatemala ",2016,61.8,20.0,N/A,32.0,79.1,94.3,N/A,62.5,50.9,77.9,86.4,65.0,50.0
Guinea,2016,53.3,20.0,N/A,25.0,68.5,81.2,N/A,51.4,71.8,69.2,61.2,45.0,40.0
Guinea-Bissau,2016,51.8,20.0,N/A,19.0,89.3,94.1,N/A,36.7,61.1,78.5,59.4,30.0,30.0
Guyana,2016,55.4,30.0,N/A,30.0,68.7,73.1,N/A,63.0,70.7,77.4,70.8,40.0,30.0
Haiti,2016,51.3,10.0,N/A,19.0,80.5,76.4,N/A,47.1,62.0,76.0,72.0,40.0,30.0
"Honduras ",2016,57.7,30.0,N/A,29.0,84.2,72.0,N/A,58.0,31.0,74.8,78.4,60.0,60.0
Hong Kong,2016,88.6,90.0,N/A,74.0,92.6,90.7,N/A,97.4,89.0,81.8,90.0,90.0,90.0
"Hungary ",2016,66.0,45.0,N/A,54.0,78.7,26.7,N/A,70.6,63.8,88.3,88.0,75.0,70.0
Iceland,2016,73.3,90.0,N/A,79.0,73.3,42.1,N/A,90.1,61.6,79.5,87.8,70.0,60.0
India,2016,56.2,55.0,N/A,38.0,77.1,78.1,N/A,47.6,47.8,72.8,71.0,35.0,40.0
Indonesia,2016,59.4,30.0,N/A,34.0,83.4,89.0,N/A,54.0,49.3,74.3,80.4,40.0,60.0
Iran,2016,43.5,10.0,N/A,27.0,81.2,93.2,N/A,59.3,49.0,50.6,54.6,0.0,10.0
Iraq,2016,N/A,N/A,N/A,16.0,N/A,29.7,N/A,63.2,68.5,75.0,N/A,N/A,N/A
Ireland,2016,77.3,90.0,N/A,74.0,73.6,50.3,N/A,79.6,72.1,85.5,88.0,90.0,70.0
Israel,2016,70.7,75.0,N/A,60.0,60.6,48.8,N/A,70.6,64.6,84.2,88.2,85.0,70.0
Italy,2016,61.2,50.0,N/A,43.0,55.8,22.1,N/A,70.3,53.0,84.5,88.0,85.0,60.0
"Jamaica ",2016,67.5,40.0,N/A,38.0,81.7,78.0,N/A,81.3,72.7,77.5,75.4,80.0,50.0
Japan,2016,73.1,80.0,N/A,76.0,68.5,46.2,N/A,82.5,83.9,81.2,82.6,70.0,60.0
Jordan,2016,68.3,60.0,N/A,49.0,91.7,62.0,N/A,64.9,68.4,83.1,73.4,70.0,60.0
Kazakhstan,2016,63.6,30.0,N/A,29.0,93.0,87.7,N/A,72.3,82.7,74.0,77.4,40.0,50.0
Kenya,2016,57.5,30.0,N/A,25.0,79.4,80.8,N/A,48.6,62.2,73.5,65.6,60.0,50.0
Kiribati,2016,46.2,30.0,N/A,29.2,73.3,0.0,N/A,51.6,83.9,81.0,58.2,25.0,30.0
Kosovo,2016,61.4,30.0,N/A,33.0,93.6,76.8,N/A,69.3,66.3,78.9,70.8,65.0,30.0
Kuwait,2016,62.7,45.0,N/A,44.0,97.7,57.7,N/A,63.4,62.7,74.2,77.2,55.0,50.0
"Kyrgyz Republic ",2016,59.6,20.0,N/A,27.0,93.7,56.3,N/A,65.3,80.4,68.4,75.0,60.0,50.0
Laos,2016,49.8,15.0,N/A,25.0,86.1,73.8,N/A,55.9,57.6,71.3,58.6,35.0,20.0
Latvia,2016,70.4,50.0,N/A,55.0,84.8,58.4,N/A,78.6,59.5,84.8,88.0,85.0,60.0
Lebanon,2016,59.5,20.0,N/A,27.0,91.3,75.7,N/A,59.1,57.3,79.0,75.8,60.0,50.0
Lesotho,2016,50.6,30.0,N/A,49.0,59.1,0.0,N/A,53.3,62.1,76.9,85.8,50.0,40.0
Liberia,2016,52.2,25.0,N/A,37.0,83.8,67.7,N/A,55.1,44.5,71.0,72.8,45.0,20.0
Libya,2016,N/A,10.0,N/A,18.0,95.0,0.0,N/A,55.5,63.1,74.0,N/A,5.0,N/A
Liechtenstein,2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.0,85.0,80.0
Lithuania,2016,75.2,65.0,N/A,58.0,92.9,63.8,N/A,80.0,60.0,84.6,88.0,80.0,80.0
Luxembourg,2016,73.9,90.0,N/A,82.0,61.1,43.0,N/A,73.7,42.6,83.2,88.0,95.0,80.0
Macau,2016,70.1,60.0,N/A,49.7,73.1,93.9,N/A,60.0,50.0,69.6,90.0,85.0,70.0
Madagascar,2016,61.1,45.0,N/A,28.0,91.1,93.4,N/A,52.9,48.5,74.5,77.2,50.0,50.0
Malawi,2016,51.8,40.0,N/A,33.0,79.0,27.1,N/A,44.5,63.4,53.6,72.4,55.0,50.0
"Malaysia ",2016,71.5,55.0,N/A,52.0,85.0,74.3,N/A,91.4,71.5,84.5,81.4,60.0,60.0
Maldives,2016,53.9,25.0,N/A,21.9,94.0,60.8,N/A,81.5,70.4,73.0,47.8,35.0,30.0
Mali,2016,56.5,25.0,N/A,32.0,70.3,82.8,N/A,46.3,50.8,83.0,70.2,65.0,40.0
Malta,2016,66.7,70.0,N/A,55.0,63.9,46.5,N/A,61.6,53.5,83.5,88.0,85.0,60.0
Mauritania,2016,54.8,25.0,N/A,30.0,81.6,75.3,N/A,48.7,50.7,77.7,69.0,50.0,40.0
Mauritius,2016,74.7,60.0,N/A,54.0,92.0,81.5,N/A,77.5,65.0,78.7,88.6,80.0,70.0
Mexico,2016,65.2,50.0,N/A,35.0,74.9,76.4,N/A,70.7,58.2,77.4,79.2,70.0,60.0
Micronesia,2016,51.8,30.0,N/A,30.0,93.2,0.0,N/A,57.5,79.1,82.1,85.6,30.0,30.0
Moldova,2016,57.4,40.0,N/A,35.0,85.4,55.6,N/A,64.6,39.3,76.0,73.6,55.0,50.0
Mongolia,2016,59.4,30.0,N/A,39.0,84.4,51.5,N/A,67.7,77.9,68.0,70.0,45.0,60.0
Montenegro,2016,64.9,40.0,N/A,42.0,91.6,39.8,N/A,76.6,72.0,82.6,84.8,70.0,50.0
Morocco,2016,61.3,40.0,N/A,39.0,71.5,65.6,N/A,66.4,34.3,84.1,81.8,70.0,60.0
"Mozambique ",2016,53.2,30.0,N/A,31.0,74.3,63.5,N/A,55.9,41.9,79.5,70.8,35.0,50.0
Namibia,2016,61.9,30.0,N/A,49.0,64.4,63.9,N/A,68.2,84.5,75.1,83.4,60.0,40.0
Nepal,2016,50.9,30.0,N/A,29.0,85.1,91.1,N/A,64.9,47.3,70.8,55.6,5.0,30.0
Netherlands,2016,74.6,90.0,N/A,83.0,52.7,34.4,N/A,80.0,64.0,83.4,88.0,90.0,80.0
New Zealand,2016,81.6,95.0,N/A,91.0,71.0,46.0,N/A,91.4,85.9,88.1,87.2,80.0,80.0
"Nicaragua ",2016,58.6,10.0,N/A,28.0,78.0,82.8,N/A,61.2,55.7,69.0,86.2,65.0,50.0
Niger,2016,54.3,30.0,N/A,35.0,76.3,76.8,N/A,39.6,42.3,83.0,64.6,55.0,40.0
Nigeria,2016,57.5,30.0,N/A,27.0,85.1,94.6,N/A,48.7,72.9,71.5,64.8,40.0,40.0
North Korea,2016,2.3,5.0,N/A,8.0,0.0,0.0,N/A,5.0,5.0,0.0,0.0,0.0,0.0
North Macedonia,2016,67.5,35.0,N/A,45.0,92.1,69.6,N/A,76.4,66.7,83.5,86.4,60.0,60.0
Norway,2016,70.8,90.0,N/A,86.0,53.2,41.8,N/A,89.6,48.5,76.2,87.8,75.0,60.0
Oman,2016,67.1,55.0,N/A,45.0,98.5,36.8,N/A,70.1,72.5,77.9,85.0,70.0,60.0
"Pakistan ",2016,55.9,30.0,N/A,29.0,79.0,86.2,N/A,61.2,42.1,71.5,65.0,55.0,40.0
"Panama ",2016,64.8,30.0,N/A,37.0,84.4,77.9,N/A,74.4,42.9,78.6,77.8,75.0,70.0
Papua New Guinea,2016,53.2,20.0,N/A,25.0,67.3,76.2,N/A,59.9,71.9,70.6,85.6,25.0,30.0
"Paraguay ",2016,61.5,30.0,N/A,24.0,96.3,83.3,N/A,62.6,30.4,76.8,76.2,75.0,60.0
Peru,2016,67.4,40.0,N/A,38.0,78.5,86.1,N/A,67.8,62.9,83.7,87.0,70.0,60.0
Philippines,2016,63.1,30.0,N/A,38.0,79.0,89.6,N/A,63.0,57.1,77.7,76.4,60.0,60.0
Poland,2016,69.3,65.0,N/A,61.0,75.5,46.5,N/A,68.7,58.0,85.2,88.0,75.0,70.0
Portugal,2016,65.1,70.0,N/A,63.0,60.5,24.8,N/A,85.3,43.5,85.7,88.0,70.0,60.0
Qatar,2016,70.7,65.0,N/A,69.0,99.7,70.4,N/A,71.4,70.7,74.1,81.8,45.0,60.0
"Republic of Congo ",2016,42.8,10.0,N/A,23.0,66.9,55.8,N/A,35.9,38.8,75.6,52.0,40.0,30.0
Romania,2016,65.6,35.0,N/A,43.0,87.5,65.6,N/A,66.1,65.1,81.1,88.0,75.0,50.0
Russia,2016,50.6,20.0,N/A,27.0,82.2,56.2,N/A,72.2,57.6,62.9,72.4,25.0,30.0
Rwanda,2016,63.1,30.0,N/A,49.0,80.1,77.1,N/A,60.5,82.0,79.4,67.6,65.0,40.0
Saint Lucia,2016,70.0,70.0,N/A,71.0,76.9,70.6,N/A,77.6,76.2,80.3,72.0,65.0,40.0
Saint Vincent and the Grenadines,2016,68.8,70.0,N/A,67.0,73.8,69.7,N/A,77.6,74.5,85.3,65.4,65.0,40.0
Samoa,2016,63.5,60.0,N/A,52.0,78.9,57.5,N/A,77.1,71.8,82.5,70.6,55.0,30.0
"São Tomé and Príncipe ",2016,56.7,25.0,N/A,42.0,87.4,70.1,N/A,65.9,46.1,67.6,73.0,60.0,30.0
Saudi Arabia,2016,62.1,40.0,N/A,49.0,99.7,56.8,N/A,69.9,68.5,69.2,77.8,40.0,50.0
Senegal,2016,58.1,40.0,N/A,43.0,71.6,76.1,N/A,49.1,42.4,84.9,73.8,60.0,40.0
"Serbia ",2016,62.1,50.0,N/A,41.0,84.3,44.1,N/A,60.2,66.2,77.5,77.8,70.0,50.0
Seychelles,2016,62.2,50.0,N/A,55.0,79.3,62.0,N/A,66.0,62.1,79.7,83.4,55.0,30.0
Sierra Leone,2016,52.3,10.0,N/A,31.0,81.2,92.6,N/A,49.9,43.2,70.8,69.4,55.0,20.0
Singapore,2016,87.8,90.0,N/A,84.0,91.2,90.1,N/A,95.0,90.7,81.8,90.0,85.0,80.0
Slovakia,2016,66.6,50.0,N/A,50.0,80.1,49.5,N/A,68.4,55.0,79.5,88.0,75.0,70.0
Slovenia,2016,60.6,60.0,N/A,58.0,58.6,0.0,N/A,82.0,55.4,84.3,88.0,70.0,50.0
Solomon Islands,2016,47.0,30.0,N/A,25.0,61.4,25.2,N/A,68.5,66.2,75.5,73.0,15.0,30.0
Somalia,2016,N/A,N/A,N/A,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,2016,61.9,50.0,N/A,44.0,70.1,69.9,N/A,69.7,58.7,74.6,77.0,45.0,60.0
South Korea,2016,71.7,70.0,N/A,55.0,73.8,69.7,N/A,91.1,50.6,82.6,74.6,70.0,80.0
Spain,2016,68.5,70.0,N/A,60.0,58.3,41.1,N/A,76.0,51.7,84.7,88.0,85.0,70.0
Sri Lanka,2016,59.9,40.0,N/A,38.0,85.1,90.0,N/A,70.3,56.5,71.5,72.4,35.0,40.0
Sudan,2016,N/A,N/A,N/A,11.0,86.4,94.8,N/A,48.8,43.5,46.7,50.6,10.0,N/A
Suriname,2016,53.8,30.0,N/A,36.0,69.4,70.3,N/A,48.8,76.3,78.7,68.4,30.0,30.0
Sweden,2016,72.0,90.0,N/A,87.0,44.4,14.9,N/A,89.7,53.5,87.1,88.0,85.0,80.0
Switzerland,2016,81.0,90.0,N/A,86.0,70.9,66.3,N/A,82.2,72.1,87.8,90.0,85.0,80.0
Syria,2016,N/A,10.0,N/A,20.0,N/A,N/A,N/A,62.4,46.9,42.7,56.6,0.0,20.0
Taiwan,2016,74.7,70.0,N/A,61.0,76.1,88.7,N/A,93.2,53.8,83.2,86.4,75.0,60.0
Tajikistan,2016,51.3,20.0,N/A,23.0,91.6,76.9,N/A,61.1,47.3,69.8,68.6,25.0,30.0
Tanzania,2016,58.5,25.0,N/A,31.0,79.2,88.4,N/A,47.5,62.6,67.7,73.2,60.0,50.0
"Thailand ",2016,63.9,40.0,N/A,38.0,81.1,82.2,N/A,76.3,62.5,70.9,77.6,50.0,60.0
The Bahamas,2016,70.9,70.0,N/A,71.0,97.9,84.3,N/A,70.7,72.8,78.5,64.0,40.0,60.0
The Gambia,2016,57.1,25.0,N/A,29.0,75.5,78.0,N/A,53.4,65.8,64.7,65.0,65.0,50.0
Timor-Leste,2016,45.8,20.0,N/A,28.0,64.7,0.0,N/A,68.0,66.0,70.9,80.0,40.0,20.0
Togo,2016,53.6,30.0,N/A,29.0,68.7,80.4,N/A,51.4,46.2,79.5,71.2,50.0,30.0
Tonga,2016,59.6,25.0,N/A,28.6,86.9,76.3,N/A,76.4,86.1,77.4,79.6,40.0,20.0
Trinidad and Tobago,2016,62.9,50.0,N/A,38.0,79.4,62.3,N/A,69.5,72.8,68.5,78.6,60.0,50.0
Tunisia,2016,57.6,40.0,N/A,40.0,74.0,73.4,N/A,81.3,64.0,75.6,62.2,35.0,30.0
Turkey,2016,62.1,40.0,N/A,45.0,75.2,55.6,N/A,65.4,48.6,71.5,84.4,75.0,60.0
Turkmenistan,2016,41.9,5.0,N/A,17.0,95.3,92.2,N/A,30.0,20.0,69.4,80.0,0.0,10.0
Uganda,2016,59.3,25.0,N/A,26.0,73.2,91.5,N/A,40.3,83.7,80.1,72.8,60.0,40.0
Ukraine,2016,46.8,25.0,N/A,26.0,78.6,30.6,N/A,56.8,47.9,66.9,85.8,20.0,30.0
United Arab Emirates,2016,72.6,55.0,N/A,70.0,95.0,76.1,N/A,79.6,80.7,81.3,82.8,45.0,60.0
United Kingdom,2016,76.4,90.0,N/A,78.0,64.9,39.0,N/A,86.0,71.8,76.4,88.0,90.0,80.0
United States,2016,75.4,80.0,N/A,74.0,65.6,54.7,N/A,84.7,91.4,77.0,87.0,70.0,70.0
"Uruguay ",2016,68.8,70.0,N/A,73.0,77.2,67.6,N/A,75.3,62.5,71.3,80.6,80.0,30.0
Uzbekistan,2016,46.0,15.0,N/A,18.0,90.4,66.6,N/A,67.1,61.9,65.6,65.6,0.0,10.0
Vanuatu,2016,60.8,40.0,N/A,33.5,97.0,86.1,N/A,51.8,47.7,78.3,74.0,60.0,40.0
"Venezuela ",2016,33.7,5.0,N/A,19.0,74.9,56.7,N/A,45.3,29.5,33.8,63.2,0.0,10.0
Vietnam,2016,54.0,15.0,N/A,31.0,79.3,75.1,N/A,58.3,62.6,70.6,83.0,25.0,40.0
Yemen,2016,N/A,30.0,N/A,19.0,N/A,N/A,N/A,51.9,54.4,71.0,N/A,N/A,30.0
Zambia,2016,58.8,30.0,N/A,38.0,73.3,81.1,N/A,66.4,48.3,72.6,78.2,50.0,50.0
Zimbabwe,2016,38.2,10.0,N/A,21.0,60.8,73.6,N/A,37.6,30.0,79.1,50.2,10.0,10.0
